Temperature (C), 1% fat,   2% fat,   3% fat,   4% fat,   5% fat,   6% fat,   7% fat,   8% fat,   9% fat,   10% fat,  11% fat,  12% fat
57.8,		 63.3 min, 64.5 min, 65.7 min, 67 min,   68.4 min, 69.9 min, 71.4 min, 73 min,   74.8 min, 76.7 min, 78.9 min, 81.4 min
58.3,		 50.1 min, 51 min,   52.1 min, 53.2 min, 54.3 min, 55.5 min, 56.8 min, 58.2 min, 59.7 min, 61.4 min, 63.3 min, 65.5 min
58.9,		 39.7 min, 40.5 min, 41.3 min, 42.2 min, 43.2 min, 44.2 min, 45.3 min, 46.4 min, 47.7 min, 49.2 min, 50.9 min, 52.9 min
59.4,		 31.6 min, 32.2 min, 32.9 min, 33.6 min, 34.4 min, 35.2 min, 36.2 min, 37.2 min, 38.3 min, 39.6 min, 41.1 min, 43 min
60.0,		 25.2 min, 25.7 min, 26.2 min, 26.8 min, 27.5 min, 28.2 min, 29 min,   29.8 min, 30.8 min, 32 min,   33.4 min, 35 min
60.6,		 20.1 min, 20.5 min, 21 min,   21.5 min, 22 min,   22.6 min, 23.2 min, 24 min,   24.9 min, 25.9 min, 27.1 min, 28.7 min
61.1,		 16.1 min, 16.4 min, 16.8 min, 17.2 min, 17.6 min, 18.1 min, 18.7 min, 19.4 min, 20.1 min, 21 min,   22.1 min, 23.5 min
61.7,		 13 min,   13.2 min, 13.5 min, 13.8 min, 14.2 min, 14.6 min, 15.1 min, 15.6 min, 16.3 min, 17.1 min, 18.1 min, 19.3 min
62.2,		 10.4 min, 10.6 min, 10.8 min, 11.1 min, 11.4 min, 11.8 min, 12.2 min, 12.6 min, 13.2 min, 13.9 min, 14.8 min, 15.9 min
62.8,		 8.4 min,  8.6 min,  8.7 min,  8.9 min,  9.2 min,  9.5 min,  9.8 min,  10.2 min, 10.7 min, 11.3 min, 12.1 min, 13 min
63.3,		 6.8 min,  6.9 min,  7 min,    7.2 min,  7.4 min,  7.6 min,  7.9 min,  8.2 min,  8.6 min,  9.1 min,  9.8 min,  10.6 min
63.9,		 5.5 min,  5.5 min,  5.6 min,  5.7 min,  5.9 min,  6.1 min,  6.3 min,  6.6 min,  6.9 min,  7.4 min,  7.9 min,  8.6 min
64.4,		 4.4 min,  4.4 min,  4.5 min,  4.5 min,  4.7 min,  4.8 min,  5 min,    5.2 min,  5.5 min,  5.8 min,  6.3 min,  6.8 min
65.0,		 3.5 min,  3.5 min,  3.5 min,  3.6 min,  3.6 min,  3.8 min,  3.9 min,  4.1 min,  4.3 min,  4.6 min,  4.9 min,  5.4 min
65.6,		 2.7 min,  2.7 min,  2.7 min,  2.7 min,  2.8 min,  2.9 min,  3 min,    3.1 min,  3.3 min,  3.5 min,  3.8 min,  4.2 min
66.1,		 2.1 min,  2 min,    2 min,    2.1 min,  2.1 min,  2.1 min,  2.2 min,  2.3 min,  2.5 min,  2.6 min,  2.9 min,  3.1 min
66.7,		 1.5 min,  1.5 min,  1.5 min,  1.6 min,  1.6 min,  1.6 min,  1.7 min,  1.7 min,  1.8 min,  1.9 min,  2.1 min,  2.3 min
67.2,		 1.2 min,  1.2 min,  1.2 min,  1.2 min,  1.3 min,  1.3 min,  1.3 min,  1.3 min,  1.4 min,  1.4 min,  1.4 min,  1.6 min
67.8,		 55.9 sec, 56.9 sec, 58 sec,   59.1 sec, 1 min,    1 min,    1 min,    1.1 min,  1.1 min,  1.1 min,  1.1 min,  1.1 min
68.3,		 44.2 sec, 45 sec,   45.9 sec, 46.8 sec, 47.7 sec, 48.6 sec, 49.5 sec, 50.4 sec, 51.4 sec, 52.4 sec, 53.4 sec, 54.4 sec
68.9,		 35 sec,   35.6 sec, 36.3 sec, 37 sec,   37.7 sec, 38.4 sec, 39.2 sec, 39.9 sec, 40.7 sec, 41.4 sec, 42.2 sec, 43 sec
69.4,		 27.7 sec, 28.2 sec, 28.7 sec, 29.3 sec, 29.8 sec, 30.4 sec, 31 sec,   31.6 sec, 32.2 sec, 32.8 sec, 33.4 sec, 34 sec
70.0,		 21.9 sec, 22.3 sec, 22.7 sec, 23.2 sec, 23.6 sec, 24 sec,   24.5 sec, 25 sec,   25.4 sec, 25.9 sec, 26.4 sec, 26.9 sec
70.6,		 17.3 sec, 17.6 sec, 18 sec,   18.3 sec, 18.7 sec, 19 sec,   19.4 sec, 19.8 sec, 20.1 sec, 20.5 sec, 20.9 sec, 21.3 sec
71.1,		 13.7 sec, 14 sec,   14.2 sec, 14.5 sec, 14.8 sec, 15 sec,   15.3 sec, 15.6 sec, 15.9 sec, 16.2 sec, 16.5 sec, 16.9 sec
71.7,		 10.8 sec, 11 sec,   11.2 sec, 11.5 sec, 11.7 sec, 11.9 sec, 12.1 sec, 12.4 sec, 12.6 sec, 12.8 sec, 13.1 sec, 13.3 sec
72.2,		 0 sec,    0 sec,    0 sec,    0 sec,    0 sec,    0 sec,    9.6 sec,  9.8 sec,  10 sec,   10.2 sec, 10.3 sec, 10.5 sec
72.8,		 0 sec,    0 sec,    0 sec,    0 sec,    0 sec,    0 sec,    0 sec,    0 sec,    0 sec,    0 sec,    0 sec,    0 sec
73.3,		 0 sec,    0 sec,    0 sec,    0 sec,    0 sec,    0 sec,    0 sec,    0 sec,    0 sec,    0 sec,    0 sec,    0 sec
73.9,		 0 sec,    0 sec,    0 sec,    0 sec,    0 sec,    0 sec,    0 sec,    0 sec,    0 sec,    0 sec,    0 sec,    0 sec
