Temperature (C), 1% fat,   2% fat,   3% fat,   4% fat,   5% fat,   6% fat,   7% fat,   8% fat,   9% fat,   10% fat,  11% fat,  12% fat   
57.8,		 64 min,   64.3 min, 64.6 min, 64.9 min, 65.3 min, 65.8 min, 66.3 min, 66.9 min, 67.6 min, 68.4 min, 69.5 min, 70.8 min 
58.3,		 51.9 min, 52.2 min, 52.4 min, 52.8 min, 53.2 min, 53.6 min, 54.1 min, 54.7 min, 55.3 min, 56.2 min, 57.2 min, 58.5 min 
58.9,		 42.2 min, 42.5 min, 42.7 min, 43 min,   43.4 min, 43.8 min, 44.2 min, 44.8 min, 45.4 min, 46.2 min, 47.2 min, 48.5 min 
59.4,		 34.4 min, 34.6 min, 34.9 min, 35.1 min, 35.4 min, 35.8 min, 36.2 min, 36.7 min, 37.3 min, 38.1 min, 39.1 min, 40.4 min 
60.0,		 28.1 min, 28.3 min, 28.5 min, 28.7 min, 29 min,   29.3 min, 29.7 min, 30.2 min, 30.8 min, 31.5 min, 32.5 min, 33.7 min 
60.6,		 23 min,   23.2 min, 23.3 min, 23.5 min, 23.8 min, 24.1 min, 24.4 min, 24.9 min, 25.5 min, 26.2 min, 27.1 min, 28.2 min 
61.1,		 18.9 min, 19 min,   19.1 min, 19.3 min, 19.5 min, 19.8 min, 20.1 min, 20.5 min, 21.1 min, 21.7 min, 22.6 min, 23.7 min 
61.7, 		 15.5 min, 15.6 min, 15.7 min, 15.9 min, 16.1 min, 16.3 min, 16.6 min, 17 min,   17.4 min, 18 min,   18.8 min, 19.8 min 
62.2, 		 12.8 min, 12.8 min, 12.9 min, 13 min,   13.2 min, 13.4 min, 13.7 min, 14 min,   14.4 min, 15 min,   15.7 min, 16.6 min 
62.8, 		 10.5 min, 10.6 min, 10.6 min, 10.7 min, 10.8 min, 11 min,   11.3 min, 11.5 min, 11.9 min, 12.4 min, 13 min,   13.8 min 
63.3, 		 8.7 min,  8.7 min,  8.7 min,  8.8 min,  8.9 min,  9 min,    9.2 min,  9.5 min,  9.8 min,  10.2 min, 10.8 min, 11.5 min  
63.9, 		 7.1 min,  7.1 min,  7.1 min,  7.2 min,  7.3 min,  7.4 min,  7.5 min,  7.7 min,  8 min,    8.4 min,  8.8 min,  9.4 min  
64.4, 		 5.8 min,  5.8 min,  5.8 min,  5.8 min,  5.9 min,  6 min,    6.1 min,  6.3 min,  6.5 min,  6.8 min,  7.2 min,  7.7 min  
65.0, 		 4.7 min,  4.7 min,  4.7 min,  4.7 min,  4.7 min,  4.8 min,  4.9 min,  5 min,    5.2 min,  5.4 min,  5.8 min,  6.2 min  
65.6, 		 3.8 min,  3.7 min,  3.7 min,  3.7 min,  3.7 min,  3.8 min,  3.9 min,  4 min,    4.1 min,  4.3 min,  4.5 min,  4.9 min  
66.1, 		 3 min,    2.9 min,  2.9 min,  2.9 min,  2.9 min,  2.9 min,  3 min,    3.1 min,  3.2 min,  3.3 min,  3.5 min,  3.8 min  
66.7, 		 2.3 min,  2.3 min,  2.3 min,  2.3 min,  2.3 min,  2.3 min,  2.3 min,  2.3 min,  2.4 min,  2.5 min,  2.7 min,  2.8 min  
67.2, 		 1.8 min,  1.8 min,  1.9 min,  1.9 min,  1.9 min,  1.9 min,  1.9 min,  1.9 min,  1.9 min,  1.9 min,  1.9 min,  2.1 min  
67.8, 		 1.5 min,  1.5 min,  1.5 min,  1.5 min,  1.5 min,  1.5 min,  1.5 min,  1.5 min,  1.5 min,  1.6 min,  1.6 min,  1.6 min  
68.3, 		 1.2 min,  1.2 min,  1.2 min,  1.2 min,  1.2 min,  1.2 min,  1.3 min,  1.3 min,  1.3 min,  1.3 min,  1.3 min,  1.3 min  
68.9, 		 59 sec,   59.3 sec, 59.5 sec, 59.8 sec, 1 min,    1 min,    1 min,    1 min,    1 min,    1 min,    1 min,    1 min    
69.4, 		 47.9 sec, 48.1 sec, 48.3 sec, 48.5 sec, 48.8 sec, 49 sec,   49.2 sec, 49.5 sec, 49.7 sec, 49.9 sec, 50.2 sec, 50.4 sec 
70.0, 		 38.8 sec, 39 sec,   39.2 sec, 39.4 sec, 39.6 sec, 39.8 sec, 40 sec,   40.1 sec, 40.3 sec, 40.5 sec, 40.7 sec, 40.9 sec 
70.6, 		 31.5 sec, 31.7 sec, 31.8 sec, 32 sec,   32.1 sec, 32.3 sec, 32.4 sec, 32.6 sec, 32.7 sec, 32.9 sec, 33 sec,   33.2 sec 
71.1, 		 25.6 sec, 25.7 sec, 25.8 sec, 26 sec,   26.1 sec, 26.2 sec, 26.3 sec, 26.4 sec, 26.6 sec, 26.7 sec, 26.8 sec, 26.9 sec 
71.7, 		 20.8 sec, 20.9 sec, 21 sec,   21.1 sec, 21.2 sec, 21.3 sec, 21.4 sec, 21.5 sec, 21.6 sec, 21.7 sec, 21.8 sec, 21.9 sec 
72.2, 		 16.9 sec, 16.9 sec, 17 sec,   17.1 sec, 17.2 sec, 17.3 sec, 17.3 sec, 17.4 sec, 17.5 sec, 17.6 sec, 17.7 sec, 17.7 sec 
72.8, 		 13.7 sec, 13.7 sec, 13.8 sec, 13.9 sec, 13.9 sec, 14 sec,   14.1 sec, 14.1 sec, 14.2 sec, 14.3 sec, 14.3 sec, 14.4 sec 
73.3, 		 11.1 sec, 11.2 sec, 11.2 sec, 11.3 sec, 11.3 sec, 11.4 sec, 11.4 sec, 11.5 sec, 11.5 sec, 11.6 sec, 11.6 sec, 11.7 sec 
73.9, 		 0 sec,    0 sec,    0 sec,    0 sec,    0 sec,    0 sec,    0 sec,    0 sec,    0 sec,    0 sec,    0 sec,    0 sec    
